heldout_user,N_test,pers_mae,pers_rmse,pers_rho,ridge_mae,ridge_rmse,ridge_rho
U20,1,3.0,3.0,,1.121231237728944,1.121231237728944,
U12,5,2.0,2.3664319132398464,0.1521451548625461,1.6136043103986275,1.7885433814284453,0.2886751345948128
U21,2,1.5,2.1213203435596424,,1.520259627184922,1.6753790199125629,-1.0
U07,5,2.2,2.32379000772445,-0.5642880936468347,1.1927238364549018,1.5937931834498786,-0.8720815992723809
U18,3,3.6666666666666665,4.041451884327381,-0.5,1.9562836303650943,2.116785798293218,1.0
U17,3,1.6666666666666667,1.7320508075688772,-0.5,1.9508631627307624,2.1221385690725345,-0.5
U03,7,1.0,1.2535663410560174,0.2233957483421708,3.284029049192699,3.401695242999993,-0.3401680257083046
U16,3,2.0,2.581988897471611,-0.5000000000000001,1.298295741585789,1.4864688229215115,-0.8660254037844387
U15,4,1.5,1.8708286933869709,-0.0555555555555555,1.5653260985608182,1.6522803119026692,-0.632455532033676
U14,4,2.0,2.7386127875258306,-0.3888888888888889,2.5446205873584486,2.6847564106915685,-0.2108185106778919
U01,15,1.1333333333333333,1.390443574307614,0.2655997341648065,0.985679940494954,1.224193174912174,0.1197640492178786
U22,2,1.0,1.4142135623730951,,2.134192383953769,2.3499353214838967,1.0
U19,3,2.3333333333333335,2.3804761428476167,-0.8660254037844387,1.0940848963529552,1.116878553314555,0.0
U13,4,1.25,1.5,0.7378647873726218,1.2877338048385525,1.5241846531037788,-0.6000000000000001
U11,5,1.4,2.4083189157584592,0.3952847075210474,1.9526960077930269,2.039136499914147,0.6708203932499368
U23,1,2.0,2.0,,1.2692314136954757,1.2692314136954757,
U02,13,1.5384615384615383,2.2188007849009166,0.4747370161695589,1.8261599215632651,2.025127329334459,0.0116296760925916
U09,5,0.4,0.6324555320336759,-0.25,1.242545242876716,1.2990675045530593,0.3535533905932737
U24,2,1.0,1.4142135623730951,,1.042424222869045,1.045027048096389,
U04,7,2.2857142857142856,2.7774602993176543,-0.5754716981132076,1.5390795346871566,1.7050919284049113,-0.385467126562535
U06,6,1.3333333333333333,1.632993161855452,0.1846372364689991,1.6528789046218215,2.002680740041758,-0.6179143806533246
U05,6,0.5,0.9128709291752768,0.7745966692414834,1.9012768553964172,1.990181704377182,-0.6761234037828132
U10,5,0.6,0.7745966692414834,-0.1666666666666666,0.4970129919528517,0.6295058678041839,0.5773502691896257
U08,5,0.8,1.095445115010332,-0.0277777777777777,1.8811227355570268,2.015577770911679,0.1054092553389459
