heldout_user,n,MAE,RMSE,rho
U01,13.0,0.9097329286428598,1.0203704546039691,0.4320738641673287
U02,11.0,1.4778272021900525,1.910859872286585,-0.134930890198222
U03,5.0,4.823647689819336,4.895251467129424,-0.6742313729533895
U04,5.0,2.087988090515137,2.283091508274989,-0.3771874295766752
U05,4.0,1.4448245763778689,1.518789903504785,
U06,4.0,3.114596962928772,3.3077622160043214,
U12,3.0,1.178712050120036,1.424979097521492,
U11,3.0,2.3856309254964194,2.6087222556216045,
U10,3.0,1.299191951751709,1.371235049068078,
U09,3.0,2.121741771697998,2.1230674697284773,
U08,3.0,0.859440803527832,0.9483847122830488,
U07,3.0,1.5882479349772136,1.9710256697071389,
U13,2.0,2.985725164413452,3.0158087996251286,
U14,2.0,0.6469781398773193,0.8495255214196928,
U15,2.0,0.8652181625366211,0.9829246696440288,
U16,1.0,0.914973258972168,0.914973258972168,
U17,1.0,3.880681037902832,3.880681037902832,
U18,1.0,3.5563855171203613,3.5563855171203613,
U19,1.0,0.1418328285217285,0.1418328285217285,
