heldout_user,n,MAE,RMSE,rho,a,b
U01,13,1.096391904144448,1.3643206495785367,-0.4320738641673288,15.495626280809978,-1.8311348919749024
U02,11,1.681499423186211,1.925856564992556,0.134930890198222,12.48985388297234,-1.3468186346016608
U03,5,2.8896935244564377,2.991761069557678,0.6742313729533879,9.43462638135222,-0.7698013800994831
U04,5,1.562749692677686,1.820628152264241,0.3771874295766751,12.970616568631504,-1.421887076856548
U05,4,1.1998647866979877,1.2501367713906395,0.9965910632122144,12.130682417028936,-1.277879383554734
U06,4,1.0189378111388412,1.134337856110859,-0.1975850201634494,12.716700995594774,-1.3708816135392867
U12,3,2.2883166356221154,2.7232049773386775,-0.7255340611163279,14.410034483956448,-1.6817721284019476
U11,3,1.7634484876543268,1.9655163292186957,0.8067637881326565,12.679889435467487,-1.3626262917133884
U10,3,0.539581419849578,0.5419963799390614,-0.7605027412553611,12.940287652139473,-1.4120855162478694
U09,3,0.3262113064946585,0.3422946732063355,,12.78804999328514,-1.3822599845539394
U08,3,2.006320505737632,2.0865830788783613,-0.9513913309497208,12.89825438294256,-1.4185617050480788
U07,3,2.0772984905340164,2.49374171799408,-0.9872546485986852,14.428215177101286,-1.652595841839929
U13,2,0.6035166106204732,0.6835070862822318,-0.9999999999999998,12.761788595039336,-1.378555320926911
U14,2,1.8719602834299591,1.9203562421622151,1.0,12.916399853310136,-1.4160822110044828
U15,2,1.5607832631163645,1.6535622945602064,-0.9999999999999998,12.672403838637807,-1.3724022197877028
U16,1,0.4108518559216705,0.4108518559216705,,12.907641030783353,-1.4063449693685526
U17,1,2.6834186429985465,2.6834186429985465,,12.83497454203994,-1.3861584817306127
U18,1,3.155263605792676,3.155263605792676,,13.228580866782806,-1.4529800418121792
U19,1,1.3444912147522778,1.3444912147522778,,12.91038206579348,-1.4091221774510565
